rodada,valido,cenario,tecnologia,tempo_ms,tamanho_bytes,n_requests
1,False,1_Scalar,REST,413.7768745422363,1144,1
1,False,1_Scalar,GraphQL,317.704439163208,239,1
1,False,2_Listagem,REST,1295.9070205688477,265077,1
1,False,2_Listagem,GraphQL,785.4557037353516,2252,1
1,False,3_Dashboard,REST,4507.654905319214,90602,11
1,False,3_Dashboard,GraphQL,535.285472869873,1354,1
2,False,1_Scalar,REST,278.13005447387695,1144,1
2,False,1_Scalar,GraphQL,360.4457378387451,239,1
2,False,2_Listagem,REST,1197.4878311157227,265077,1
2,False,2_Listagem,GraphQL,744.8005676269531,2252,1
2,False,3_Dashboard,REST,5017.892599105835,90602,11
2,False,3_Dashboard,GraphQL,824.4631290435791,1354,1
3,False,1_Scalar,REST,340.67273139953613,1144,1
3,False,1_Scalar,GraphQL,307.74688720703125,239,1
3,False,2_Listagem,REST,1121.6983795166016,265077,1
3,False,2_Listagem,GraphQL,516.6807174682617,2252,1
3,False,3_Dashboard,REST,4407.613277435303,90602,11
3,False,3_Dashboard,GraphQL,703.9933204650879,1354,1
4,False,1_Scalar,REST,353.82914543151855,1144,1
4,False,1_Scalar,GraphQL,302.13093757629395,239,1
4,False,2_Listagem,REST,1060.1131916046143,265077,1
4,False,2_Listagem,GraphQL,683.7961673736572,2252,1
4,False,3_Dashboard,REST,4713.869333267212,90602,11
4,False,3_Dashboard,GraphQL,598.4101295471191,1354,1
5,False,1_Scalar,REST,356.6403388977051,1144,1
5,False,1_Scalar,GraphQL,257.83777236938477,239,1
5,False,2_Listagem,REST,1174.6108531951904,265077,1
5,False,2_Listagem,GraphQL,620.6727027893066,2252,1
5,False,3_Dashboard,REST,4715.463638305664,90602,11
5,False,3_Dashboard,GraphQL,546.1239814758301,1354,1
6,True,1_Scalar,REST,302.93822288513184,1144,1
6,True,1_Scalar,GraphQL,310.52613258361816,239,1
6,True,2_Listagem,REST,1074.7036933898926,265077,1
6,True,2_Listagem,GraphQL,680.0763607025146,2252,1
6,True,3_Dashboard,REST,4389.120101928711,90602,11
6,True,3_Dashboard,GraphQL,715.8973217010498,1354,1
