name,stars,forks,age_years,language,description,url,watchers,open_issues,releases,contributors,loc_total,cbo_avg,dit_avg,lcom_avg,wmc_avg,cc_avg
Snailclimb/JavaGuide,151774,45986,7.36,Java,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,151774,73,124,151,177566000,8.9,4.54,62.7,14.53,2.45
krahets/hello-algo,116835,14411,2.87,Java,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",https://github.com/krahets/hello-algo,116835,31,85,116,365567000,6.95,3.54,48.8,13.53,2.48
GrowingGit/GitHub-Chinese-Top-Charts,102286,13288,6.03,Java,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,102286,188,136,102,123199000,9.5,4.62,53.9,14.67,2.25
iluwatar/java-design-patterns,92695,27175,11.11,Java,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns,92695,163,145,92,46865000,9.95,4.1,54.8,14.47,2.48
macrozheng/mall,81596,29452,7.46,Java,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,81596,11,146,81,58703000,10.0,3.18,64.9,14.27,2.5
spring-projects/spring-boot,78402,41502,12.91,Java,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",https://github.com/spring-projects/spring-boot,78402,585,52,78,203222000,5.3,3.18,45.5,13.6,2.15
doocs/advanced-java,78246,19263,6.95,Java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,https://github.com/doocs/advanced-java,78246,2,96,78,26603000,7.5,3.62,49.9,13.0,2.25
MisterBooo/LeetCodeAnimation,76451,14019,6.78,Java,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,https://github.com/MisterBooo/LeetCodeAnimation,76451,22,101,76,509807000,7.75,3.86,50.4,13.4,2.38
elastic/elasticsearch,73815,25454,15.61,Java,"Free and Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch,73815,5429,65,73,1472925000,5.95,3.26,46.8,13.73,2.48
Stirling-Tools/Stirling-PDF,67462,5707,2.64,Java,#1 Locally hosted web application that allows you to perform various operations on PDF files,https://github.com/Stirling-Tools/Stirling-PDF,67462,408,112,67,106483000,8.3,3.38,51.5,13.27,2.15
kdn251/interviews,64466,12950,8.59,Java,Everything you need to know to get the job.,https://github.com/kdn251/interviews,64466,115,116,64,24462000,8.5,3.1,51.9,14.13,2.25
TheAlgorithms/Java,63397,20262,9.17,Java,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java,63397,4,147,63,6530000,10.05,3.58,65.0,13.6,2.52
