rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
1,Snailclimb/JavaGuide,151774,45986,Java,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,,,
2,krahets/hello-algo,116835,14411,Java,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",https://github.com/krahets/hello-algo,,,
3,GrowingGit/GitHub-Chinese-Top-Charts,102286,13288,Java,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,,,
4,iluwatar/java-design-patterns,92695,27175,Java,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns,,,
5,macrozheng/mall,81596,29452,Java,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,,,
6,spring-projects/spring-boot,78402,41502,Java,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",https://github.com/spring-projects/spring-boot,,,
7,doocs/advanced-java,78246,19263,Java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,https://github.com/doocs/advanced-java,,,
8,MisterBooo/LeetCodeAnimation,76451,14019,Java,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,https://github.com/MisterBooo/LeetCodeAnimation,,,
9,elastic/elasticsearch,73815,25454,Java,"Free and Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch,,,
10,Stirling-Tools/Stirling-PDF,67462,5707,Java,#1 Locally hosted web application that allows you to perform various operations on PDF files,https://github.com/Stirling-Tools/Stirling-PDF,,,
11,kdn251/interviews,64466,12950,Java,Everything you need to know to get the job.,https://github.com/kdn251/interviews,,,
12,TheAlgorithms/Java,63397,20262,Java,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java,,,
13,NationalSecurityAgency/ghidra,60574,6744,Java,Ghidra is a software reverse engineering (SRE) framework,https://github.com/NationalSecurityAgency/ghidra,,,
14,spring-projects/spring-framework,58845,38711,Java,Spring Framework,https://github.com/spring-projects/spring-framework,,,
15,google/guava,51118,11071,Java,Google core libraries for Java,https://github.com/google/guava,,,
16,ReactiveX/RxJava,48338,7607,Java,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava,,,
17,skylot/jadx,45516,5254,Java,Dex to Java decompiler,https://github.com/skylot/jadx,,,
18,dbeaver/dbeaver,45430,3840,Java,Free universal database tool and SQL client,https://github.com/dbeaver/dbeaver,,,
19,termux/termux-app,45125,5094,Java,Termux - a terminal emulator application for Android OS extendible by variety of packages.,https://github.com/termux/termux-app,,,
20,jeecgboot/JeecgBoot,43889,15555,Java,🔥AI低代码平台，助力企业快速实现低代码开发和构建AI应用！前后端分离架构 SpringBoot3，SpringCloud、Mybatis，Ant Design&Vue3、TS+vite！强大代码生成器实现前后端一键生成，无需手写代码! 引领AI低代码开发模式：AI生成→在线编码→代码生成→手工合并，解决Java项目80%重复工作，提升效率，节省成本，兼顾灵活性~,https://github.com/jeecgboot/JeecgBoot,,,
21,apache/dubbo,41367,26543,Java,The java implementation of Apache Dubbo. An RPC and microservice framework.,https://github.com/apache/dubbo,,,
22,PhilJay/MPAndroidChart,38105,9057,Java,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",https://github.com/PhilJay/MPAndroidChart,,,
23,eugenp/tutorials,37260,54114,Java,Getting Started with Spring Boot 3: ,https://github.com/eugenp/tutorials,,,
24,halo-dev/halo,36928,10076,Java,强大易用的开源建站工具。,https://github.com/halo-dev/halo,,,
25,alibaba/arthas,36722,7589,Java,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas,,,
